name,place_id,type,lat,lng,address
Berry Tree Preschool - Sembawang,ChIJU3LhjmET2jER_ebn9Gr60JY,school,1.4538337,103.8195883,"Block 511 Canberra Road, #03-02 Sembawang Mart"
Han Dian Chinese Language School,ChIJGzyUhWET2jER49WCMhUjQvs,school,1.4537376,103.8196471,511 Canberra Road
The Vocal Experiment (Singing Lessons),ChIJx9GIiQsT2jERKlojOXsbRKw,school,1.4530588,103.8176987,409 Sembawang Drive
Canberra Secondary School,ChIJEenioWYT2jER9GF4RU0Fe8Q,school,1.4537005,103.8141663,"51 Sembawang Drive, Singapore"
CraftMinds Academy,ChIJ97IBJAgT2jERjAZGYGDKCrQ,school,1.4523484,103.8186084,Canberra Road
Canberra Zone 7 Residents' Network,ChIJk-8S7GYT2jERYIJCMqznvKk,school,1.4547464,103.8139776,Singapore
My First Skool at Blk 507A Wellington Circle,ChIJzWaY2Z0U2jERN4QHECLd6sU,school,1.4528781,103.8238793,"Wellington Circle, #01-146 Block 507A"
Wellington Primary School,ChIJU54_kZ0U2jERGGWFGQlzFsc,school,1.4521597,103.8224459,"10 Wellington Circle, Singapore"
WellingtonSchoolBackGate,ChIJm9nVIgAV2jERpDmDbXqc8-A,school,1.4522819,103.8239417,"506 Wellington Circle, Singapore"
Janu Chan,ChIJc51E-ygT2jERbXSjZtxO4Iw,university,1.4602151,103.818946,"474A Cochrane Crescent, Singapore"
8DOORS,ChIJ4bG3C5oZ2jERezImQFARmls,art_gallery,1.4624441,103.8125315,"10 Admiralty Street, #04-77 North Link Building"
Jelutung Harbour Park,ChIJDXSq2WAT2jERo3eAWsc06vA,park,1.455741,103.8170574,Admiralty Link
Victory Family Centre Sembawang,ChIJqZ7lxmYT2jER2NPR0a2bxmc,church,1.4545926,103.8143984,55 Sembawang Drive
வீரன் கோவில்,ChIJzbuHLgAT2jERSaxi_FZfwoc,hindu_temple,1.4594659,103.8203637,"469A Cochrane Crescent, Singapore"
Assyafaah Mosque,ChIJWxkhL2AT2jERUFj_l7gtdeQ,mosque,1.45575,103.819391,1 Admiralty Lane
Opp Sembawang Pk,ChIJKXutarwU2jERobL6nDIyVO4,transit_station,1.4602802,103.837459,Singapore
Aft Andrews Ave,ChIJl-3Cm70U2jERX4xVPElBqAU,transit_station,1.45877,103.836624,Singapore
Opp Jln Janggus,ChIJ1Z7UeL0U2jERLZWry6e57sM,transit_station,1.458252,103.835945,Singapore
Aft Jln Basong,ChIJW6vMepcU2jER0tP3wJHyMc4,transit_station,1.455004,103.833809,Singapore
Beaulieu House (Sembawang Seafood Paradise),ChIJlxNcmrsU2jERcdtppYe_HcU,restaurant,1.4633719,103.836923,"Sembawang Park, 117 Beaulieu Road"
Woody Family Peranakan Cafe,ChIJ7aVN870U2jERZxv7mqebINo,restaurant,1.4581461,103.8377431,12F Andrews Avenue
The Patio SG,ChIJRf-S_QUV2jERUh1VRRUHtDo,restaurant,1.459041,103.8439529,"60 Jalan Mempurong, #02-01, Singapore"
It's Satay,ChIJ36P50W4V2jERONqr4sCJhfo,cafe,1.459041,103.8439529,"60 Jalan Mempurong, #02-01 Passionwave Bldg"
Haaribol Pte Ltd,ChIJpTtNVUwW2jEROAFXgRQlUuA,clinic,1.4604528,103.8393776,32 Inggu Road
Avant Parc,ChIJRRsyOrwU2jERDV3DrGpz_BA,clinic,1.4604447,103.8383105,5 Wak Hassan Place
BB / GB Campsite,ChIJa05VFLwU2jERPsK_DVM0g-0,clinic,1.4615876,103.838187,1200 Sembawang Road
Soh’s Family,ChIJS1KNwFsV2jERd19jyqn_zYA,clinic,1.4596518,103.8395233,44 Penaga Place
RightJobSG,ChIJszVHhQUV2jERkR93diuwJ6g,clinic,1.4593937,103.8391209,"2 Kerong Walk, Singapore"
Watercove,ChIJpaSp54AV2jERCjZPyKI_fZA,clinic,1.4612244,103.8399594,"223 Wak Hassan Drive, Singapore"
Singapore 757133,ChIJabuC4-wV2jERRdA_A1tEb0A,clinic,1.4612125,103.8393149,52 Wak Hassan Drive
Beach view,ChIJgQqzUaEV2jERQOI_i5F6Vn8,clinic,1.4613031,103.8407628,"207 Wak Hassan Drive, Singapore"
Eagles Point,ChIJNXYm92MV2jER2ZDmm_8SGNI,clinic,1.4604277,103.841662,Singapore
