author_name,rating,text,relative_time_description,reviewer_total_reviews,reviewer_profile_url
Weekenders,3,Politician ruined our country's lucrative investment at this place.,2 years ago,,https://www.google.com/maps/contrib/114799070604522871738/reviews
Adib Redzuan,4,Something you need to explore expecially in property,6 years ago,,https://www.google.com/maps/contrib/100905574365043898953/reviews
zahin norizan,1,project still undergo,7 years ago,,https://www.google.com/maps/contrib/102365351425899582605/reviews
自然88,5,The first stop of the Xinlong-Xinlong High-speed Railway in the future will be here,3 months ago,,https://www.google.com/maps/contrib/101164792284138445301/reviews
Mas Malik,5,,4 years ago,,https://www.google.com/maps/contrib/105542642257621882721/reviews
