author_name,rating,text,relative_time_description,reviewer_total_reviews,reviewer_profile_url
Vivek soni,5,"Hi sir , may i know if job opportunity available, i know rodent control , and mosquito 🦟 cantrol job",a year ago,,https://www.google.com/maps/contrib/102159544952496620904/reviews
Crazy Buddy,5,A company which is having high endurance employees in handling the daily operation.,3 years ago,,https://www.google.com/maps/contrib/114707360752300219488/reviews
Yeoss,5,,6 years ago,,https://www.google.com/maps/contrib/109996045285276749369/reviews
Auma Kanniappan Auma,5,,6 years ago,,https://www.google.com/maps/contrib/103205419677726246026/reviews
