author_name,rating,text,relative_time_description,reviewer_total_reviews,reviewer_profile_url
Pringles,1,"Been searching for 30 minutes and then I found out that it's not at Singpost but inside of the MRT station. Right next to the main entrance, turn right and you will see it!",2 years ago,,https://www.google.com/maps/contrib/109113139845675599124/reviews
웬케빈,5,"Hidden in the public area of station, bundled with AXS services, with other ATM from another bank.",10 months ago,,https://www.google.com/maps/contrib/107458777477246149283/reviews
R O,4,indeed initial wrong location but i edited it seeing the reviews. it is in paya lebar mrt - citibank atm that can do stand chart - trust bank too,a year ago,,https://www.google.com/maps/contrib/116963735655383280270/reviews
Lim Mark,1,"it's right at the MRT, not Singpost Centre",3 years ago,,https://www.google.com/maps/contrib/102932580089327686571/reviews
Markson Chan马克聖,1,,10 months ago,,https://www.google.com/maps/contrib/117985876908601818375/reviews
