user_id	checkin_count
785591	262
41697	156
643521	114
963469	86
975698	76
782005	55
343055	53
651940	51
496060	50
692058	50
243610	49
775686	48
659542	46
773931	46
635039	45
294283	41
953708	40
10147	40
413709	40
399525	37
655455	33
977662	32
477782	32
267300	31
400213	31
469650	30
293071	30
646587	29
160312	29
575194	28
895880	28
398215	28
579572	28
182667	27
864918	27
760341	27
707883	27
802850	27
485984	27
75433	26
223221	26
798912	26
201244	25
711050	25
194307	25
825994	25
923625	25
475108	25
506134	24
474950	24
409424	24
494979	24
504677	24
74863	24
99676	24
495000	24
554949	23
869172	23
649540	23
234644	23
592443	23
351642	23
854878	23
978154	23
878186	22
139781	22
737975	22
617956	22
613518	22
711235	22
161821	22
465311	22
105168	22
794660	22
25440	22
787512	21
458868	21
202874	21
38483	21
183211	21
832111	21
376333	21
120463	20
315337	20
179153	20
456748	20
971446	20
826438	20
779863	20
701964	20
920256	20
591986	20
410171	20
25969	19
897928	19
500977	19
218148	19
293420	19
5899	19
341912	19
369317	19
659517	19
940006	18
990371	18
132434	18
97461	18
314924	18
241130	18
933278	18
173336	18
306541	18
131464	18
772348	18
560101	18
495109	18
912355	18
994132	17
82668	17
823847	17
249723	17
245395	17
958335	17
434929	17
831507	17
281559	17
877011	17
890352	17
431592	17
827410	17
728786	17
649701	16
998072	16
644198	16
789989	16
578523	16
744220	16
467547	16
555168	16
483049	16
214398	16
481259	16
284172	16
782158	16
24266	16
583722	16
815258	16
900763	15
320479	15
315241	15
461702	15
829442	15
117299	15
10851	15
188743	15
667652	15
943185	15
69890	15
518466	15
465441	15
89381	15
452795	15
777828	15
317847	15
78255	15
509352	15
388542	15
291110	15
70954	15
414330	15
897436	15
666816	15
598081	15
508607	14
560528	14
633498	14
52409	14
812760	14
687933	14
783861	14
40317	14
302950	14
367595	14
977885	14
510209	14
271794	14
848437	14
129568	14
707665	14
1524	14
60768	14
777271	14
293450	14
130419	14
779306	14
706965	14
410377	14
970595	14
692908	14
