poi_type,positive,neutral,negative
"cafe,restaurant,store,food",34,6,0
"bakery,cafe,food,store",41,1,0
"bank,atm,finance",31,25,10
"gas_station,atm,convenience_store,finance,store,food",10,0,0
"bakery,cafe,restaurant,food,store",20,2,6
"post_office,finance",6,12,0
"meal_delivery,bar,meal_takeaway,restaurant,food",12,0,0
"aquarium,pet_store,store",20,0,0
finance,26,7,10
"tourist_attraction,park,store",4,0,0
"tourist_attraction,meal_takeaway,restaurant,food",19,1,7
"tourist_attraction,amusement_park",29,0,0
"store,meal_takeaway,restaurant,food",16,6,1
"hospital,spa,health",52,0,0
"art_gallery,tourist_attraction,museum",36,3,0
"supermarket,grocery_or_supermarket,meal_takeaway,restaurant,food,store",6,10,0
"home_goods_store,store",46,1,0
"meal_delivery,bakery,meal_takeaway,restaurant,food,store",10,0,0
"mosque,place_of_worship",83,25,7
"mosque,tourist_attraction,place_of_worship",70,9,0
"school,store",139,42,1
"meal_takeaway,bar,restaurant,food,store",16,0,0
"school,health",135,15,1
"cafe,meal_delivery,bakery,restaurant,food,store",12,0,0
"laundry,cafe,meal_takeaway,restaurant,food,store",19,0,0
"cafe,grocery_or_supermarket,restaurant,store,food",21,0,0
"tourist_attraction,restaurant,food",19,0,0
"health,store",42,12,2
"restaurant,cafe,bakery,food,store",24,6,4
"health,store,restaurant,food",5,12,0
"doctor,hospital,health",48,5,1
"meal_delivery,meal_takeaway,bar,restaurant,food",22,0,0
"bakery,cafe,store,restaurant,food",10,0,0
"amusement_park,tourist_attraction",30,2,0
"furniture_store,home_goods_store,store",37,3,0
"restaurant,store,food",11,1,6
"gym,school,health",36,2,0
"bar,restaurant,night_club,food",15,0,0
laundry,25,11,5
"cafe,meal_takeaway,restaurant,food",28,13,0
"meal_takeaway,cafe,restaurant,food,store",4,6,0
"tourist_attraction,zoo",9,1,0
zoo,3,4,3
"car_repair,store",47,2,2
"restaurant,liquor_store,bar,food,store",13,4,0
"primary_school,university,school",37,8,0
"shopping_mall,book_store,jewelry_store,store",28,0,0
"atm,bank,finance",9,6,0
"cafe,health,store,food",7,1,2
"bakery,cafe,store,food",11,0,0
"cafe,department_store,store,food",14,0,0
"clothing_store,health,store",5,8,0
funeral_home,25,4,0
parking,15,2,4
"bar,cafe,restaurant,food",11,3,0
"convenience_store,clothing_store,health,food,store",5,5,0
"shoe_store,clothing_store,store",20,2,5
"store,shopping_mall",7,3,1
"gym,car_wash,spa,school,health,restaurant,food",12,0,0
airport,11,2,0
"gym,restaurant,food,health",9,3,0
"liquor_store,bar,restaurant,food,store",25,1,0
"cafe,shopping_mall,food,store",7,3,0
"meal_takeaway,cafe,bakery,restaurant,food,store",7,10,0
"car_wash,car_repair",40,0,0
"night_club,cafe,bar,restaurant,food",11,0,0
"lodging,restaurant,food",41,7,0
"shopping_mall,jewelry_store,store",13,0,0
"secondary_school,school",56,29,3
"night_club,bar,food",10,0,0
storage,21,10,0
"cafe,bar,food",36,0,0
"tourist_attraction,landmark",11,0,0
"cafe,bakery,meal_delivery,meal_takeaway,restaurant,food,store",15,2,0
"primary_school,school,health",7,4,0
"electronics_store,home_goods_store,store",29,8,3
"department_store,supermarket,grocery_or_supermarket,clothing_store,furniture_store,health,food,home_goods_store,store",21,2,0
"restaurant,cafe,bakery,store,food",20,1,0
"shopping_mall,real_estate_agency",13,1,0
"cafe,restaurant,grocery_or_supermarket,food,store",11,0,0
"bar,night_club,restaurant,food",12,2,0
"electronics_store,store",36,4,0
"jewelry_store,store",30,9,0
"cafe,meal_delivery,restaurant,food",11,6,0
"car_dealer,store",47,2,0
"physiotherapist,hospital,health",7,17,2
"cafe,bar,store,restaurant,food",10,2,0
"clothing_store,school,store",36,0,0
"meal_delivery,cafe,meal_takeaway,bar,restaurant,food",12,0,0
"department_store,travel_agency,clothing_store,jewelry_store,shopping_mall,store",7,0,6
"restaurant,art_gallery,food",16,0,0
"pharmacy,grocery_or_supermarket,food,health,store",2,4,5
"pet_store,food,store",19,4,0
"furniture_store,home_goods_store,clothing_store,store",0,12,0
"electronics_store,car_repair,store",8,3,0
"pharmacy,doctor,health,store",17,0,0
"restaurant,meal_delivery,meal_takeaway,food",10,2,2
"cafe,bakery,restaurant,store,food",24,0,0
"clothing_store,jewelry_store,home_goods_store,store",12,0,0
"shopping_mall,restaurant,food,store",31,0,0
"bar,cafe,night_club,restaurant,food",18,0,0
travel_agency,15,11,2
"gas_station,convenience_store,store,food",10,4,0
"beauty_salon,hair_care,spa,health",14,0,0
"jewelry_store,clothing_store,store",12,0,7
"cafe,liquor_store,bar,restaurant,store,food",13,0,1
"beauty_salon,shopping_mall,hair_care",14,0,0
"liquor_store,bar,food,store",11,0,0
"spa,doctor,hair_care,beauty_salon,health,store",17,0,0
"restaurant,liquor_store,bar,store,food",6,4,0
"restaurant,night_club,bar,food",25,0,0
"supermarket,grocery_or_supermarket,food,health,store",0,11,0
"beauty_salon,school,store",0,13,2
"bar,cafe,food",15,0,0
"convenience_store,supermarket,grocery_or_supermarket,food,store",8,2,10
"beauty_salon,spa",31,0,0
"gym,spa,park,beauty_salon,health",16,0,0
"bakery,restaurant,store,food",11,0,0
"meal_delivery,meal_takeaway,grocery_or_supermarket,restaurant,food,store",17,0,0
"book_store,cafe,store,food",11,0,0
"meal_delivery,meal_takeaway,grocery_or_supermarket,cafe,bakery,store,restaurant,food",21,0,0
"florist,store",36,0,0
"restaurant,bar,food,health,store",12,0,1
"car_wash,car_rental,car_repair,store",12,1,0
"meal_takeaway,bakery,store,restaurant,food",3,0,8
"pet_store,store",45,3,5
general_contractor,69,4,1
"meal_delivery,food,store",12,0,0
"restaurant,cafe,meal_delivery,bar,meal_takeaway,store,food",11,1,0
"clothing_store,pharmacy,health,store",11,9,18
plumber,3,7,0
"tourist_attraction,zoo,park",19,0,0
"pharmacy,clothing_store,health,store",7,8,0
"home_goods_store,meal_takeaway,restaurant,food,store",10,0,0
"dentist,health",59,5,0
"convenience_store,grocery_or_supermarket,store,food",7,22,2
"bar,liquor_store,store",13,0,0
"grocery_or_supermarket,restaurant,food,store",16,2,0
"bar,store",27,0,0
"bar,meal_takeaway,restaurant,food,store",11,0,0
"restaurant,cafe,night_club,bar,food",18,0,0
"restaurant,cafe,bar,night_club,food",11,0,0
"beauty_salon,hair_care",36,0,0
"meal_takeaway,health,store,restaurant,food",18,0,0
"cafe,health,food",14,1,0
"synagogue,place_of_worship",7,0,0
"grocery_or_supermarket,bar,store,restaurant,food",14,0,0
"meal_takeaway,bakery,restaurant,food,store",9,4,0
"cafe,grocery_or_supermarket,store,restaurant,food",21,5,0
"amusement_park,store",8,3,0
"physiotherapist,doctor,health",44,11,0
"meal_delivery,store,restaurant,food",10,0,0
"restaurant,grocery_or_supermarket,food,store",13,0,0
"museum,travel_agency",25,0,0
"museum,tourist_attraction,cafe,food,store",10,0,0
"grocery_or_supermarket,store,restaurant,food",17,0,0
"grocery_or_supermarket,lodging,food,store",12,0,0
"drugstore,pharmacy,health,store",7,3,0
"supermarket,convenience_store,grocery_or_supermarket,store,food",9,1,0
"shopping_mall,car_repair,store",3,0,0
"restaurant,bakery,food,store",11,0,0
"local_government_office,health",4,2,9
embassy,15,7,4
"health,school",100,3,0
"furniture_store,home_goods_store,restaurant,food,store",10,0,0
"physiotherapist,hospital,spa,store,health",13,0,0
"shopping_mall,health,store",28,5,0
"park,store",12,6,0
"liquor_store,pharmacy,health,food,store",7,5,0
"restaurant,lodging,food",8,4,0
"convenience_store,grocery_or_supermarket,food,store",2,13,4
"bicycle_store,store",9,8,3
"store,car_repair",8,10,0
"hospital,veterinary_care,health",12,0,0
"grocery_or_supermarket,health,food,store",9,1,0
"cafe,school,store,food",10,0,0
"hospital,health,store",15,6,0
"book_store,hospital,doctor,store,health",19,0,0
"restaurant,food,health,store",8,2,0
"hardware_store,store",10,8,7
"church,place_of_worship,health",3,4,0
"gym,physiotherapist,health,school",15,1,0
"park,lodging",0,10,0
spa,26,0,0
"school,church,place_of_worship",0,8,0
"cafe,grocery_or_supermarket,store,food",23,2,0
"amusement_park,park",6,2,0
"bar,liquor_store,store,food",12,1,0
"shopping_mall,cafe,food,store",9,4,1
"liquor_store,store,food",11,0,0
"lodging,general_contractor",10,0,0
"electronics_store,doctor,health,store",4,15,0
"liquor_store,bar,restaurant,store,food",10,0,0
"local_government_office,doctor,health",7,0,3
"supermarket,florist,convenience_store,grocery_or_supermarket,food,store",11,0,0
"doctor,health,store",53,1,0
"shoe_store,store",15,5,0
"restaurant,bar,night_club,food",12,0,0
"meal_delivery,meal_takeaway,store,restaurant,food",11,11,0
"beauty_salon,spa,hospital,health",26,0,0
"bowling_alley,gym,cafe,health,food,store",12,0,0
"art_gallery,home_goods_store,store",22,0,0
"furniture_store,home_goods_store,general_contractor,store",12,0,0
electrician,0,0,10
"bar,store,food",10,8,0
"night_club,bar,lodging",15,0,0
"car_dealer,store,car_repair",17,0,0
"art_gallery,jewelry_store,store",10,1,0
"restaurant,bakery,bar,food,store",15,0,0
"spa,hospital,health",23,0,0
"meal_delivery,meal_takeaway,bar,restaurant,food,store",10,0,0
"store,doctor,health",14,5,0
"health,food,store",7,0,3
"shopping_mall,food,store",13,4,0
"bar,restaurant,food,store",14,0,0
"travel_agency,tourist_attraction,amusement_park,lodging,store",27,0,0
"restaurant,convenience_store,food,store",8,0,0
"museum,art_gallery",16,0,0
"bakery,meal_delivery,restaurant,food,store",15,0,0
"accounting,finance",10,0,0
"campground,lodging,park",19,0,0
"secondary_school,university,primary_school,school",2,9,0
"furniture_store,travel_agency,home_goods_store,general_contractor,storage,food,store",12,0,0
"beauty_salon,spa,health",15,0,0
"restaurant,bar,store,food",17,0,0
"finance,store",9,0,3
"park,pet_store,store",18,0,0
"pharmacy,veterinary_care,health,store",44,0,6
"cafe,book_store,food,store",9,3,0
"atm,finance,store",2,0,0
"meal_takeaway,bar,restaurant,food",19,2,0
"tourist_attraction,cafe,store,restaurant,food",4,8,0
"grocery_or_supermarket,food,health,store",8,14,0
"supermarket,storage,grocery_or_supermarket,store,food",0,13,0
"art_gallery,health,store",33,0,0
"cafe,florist,bar,restaurant,food,store",15,0,0
insurance_agency,9,3,0
"art_gallery,home_goods_store,general_contractor,store",12,0,0
moving_company,12,1,0
"place_of_worship,hindu_temple",9,2,0
"restaurant,meal_delivery,bar,food",14,2,0
"cafe,bakery,bar,restaurant,food,store",15,0,0
"grocery_or_supermarket,department_store,convenience_store,supermarket,store,food",9,0,2
"plumber,electrician",13,0,0
"travel_agency,school,store",41,0,0
veterinary_care,68,2,2
"plumber,furniture_store,home_goods_store,store",18,0,0
"restaurant,cafe,bar,store,food",14,0,0
"general_contractor,store",4,6,3
"electronics_store,clothing_store,store",3,0,8
"department_store,restaurant,store,food",0,0,5
"spa,beauty_salon,doctor,health",14,4,5
"hardware_store,supermarket,grocery_or_supermarket,home_goods_store,store,food",11,0,0
local_government_office,12,13,0
"cafe,night_club,bar,restaurant,food",14,0,0
"veterinary_care,pharmacy,store,health",38,1,0
"bakery,meal_takeaway,store,restaurant,food",0,2,0
"aquarium,tourist_attraction",15,0,0
"book_store,clothing_store,store",0,5,5
"restaurant,night_club,bar,food,store",14,0,0
"shopping_mall,supermarket,grocery_or_supermarket,food,store",13,0,0
"cafe,bar,restaurant,lodging,food",17,0,0
"movie_theater,night_club,bar",2,12,0
lawyer,18,0,0
"hospital,store,health",10,0,0
"beauty_salon,spa,doctor,health",7,4,4
"clothing_store,lodging,store",7,15,0
"spa,hospital,health,store",20,7,0
"shopping_mall,shoe_store,clothing_store,store",7,0,9
"cafe,store,health,food",11,0,0
"physiotherapist,doctor,hospital,health",6,0,4
"art_gallery,home_goods_store,place_of_worship,store",11,0,0
"school,primary_school,secondary_school",13,1,0
"convenience_store,restaurant,store,food",11,0,0
"gas_station,car_wash",5,7,0
gas_station,1,0,4
"gym,health,school",11,10,0
"spa,health",27,0,0
"school,health,store",14,0,0
"aquarium,store",11,0,0
"local_government_office,finance",2,0,0
"shopping_mall,bar",5,15,0
"hospital,finance,doctor,health",13,4,3
"school,secondary_school",9,7,0
"gas_station,convenience_store,food,store",8,5,0
"night_club,bar,grocery_or_supermarket,food,store",8,0,2
"supermarket,convenience_store,grocery_or_supermarket,food,store",14,0,0
"pet_store,cafe,bakery,bar,restaurant,food,store",14,0,0
"doctor,spa,health",1,0,0
"spa,lodging",26,1,0
"gym,cafe,health,food,store",10,0,0
"pet_store,aquarium,general_contractor,store",6,7,0
"hair_care,beauty_salon,health",17,0,0
"electronics_store,furniture_store,home_goods_store,store",14,0,0
"cafe,night_club,bar,food",16,0,0
"convenience_store,supermarket,grocery_or_supermarket,store,food",2,0,0
"physiotherapist,health,school",27,0,0
"store,shopping_mall,electronics_store,home_goods_store",17,0,0
"train_station,transit_station",15,0,0
"grocery_or_supermarket,convenience_store,food,store",8,2,0
"museum,store",20,0,0
"bar,lodging,restaurant,food",13,2,0
"cafe,bakery,school,store,restaurant,food",0,7,5
"spa,beauty_salon,hospital,health",12,0,0
"convenience_store,atm,supermarket,grocery_or_supermarket,finance,store,food",0,6,0
"tourist_attraction,car_rental,travel_agency",10,0,0
"dentist,insurance_agency,doctor,health",11,3,0
"moving_company,storage",29,0,0
real_estate_agency,18,2,1
"pet_store,aquarium,store",11,0,0
"moving_company,school,store",40,0,0
"cafe,school,food",12,0,0
"hospital,health,store,food",7,3,0
"primary_school,university,secondary_school,school",19,0,0
"aquarium,pet_store,store,food",15,0,0
"liquor_store,cafe,night_club,bar,restaurant,food,store",11,0,0
"aquarium,tourist_attraction,restaurant,food",14,4,0
"shoe_store,doctor,health,store",14,0,0
cemetery,13,5,0
car_rental,8,6,2
"shopping_mall,home_goods_store,store",13,0,0
"secondary_school,primary_school,school",1,13,1
"meal_takeaway,cafe,restaurant,store,food",12,0,0
"real_estate_agency,lodging",0,15,2
"cemetery,funeral_home",20,0,3
"bar,grocery_or_supermarket,restaurant,food,store",10,1,1
"night_club,bar,store",9,5,0
"drugstore,pharmacy,store,health",4,5,0
"store,health",15,1,0
"book_store,university,home_goods_store,primary_school,school,store",5,2,3
"spa,beauty_salon,health",15,0,0
"park,general_contractor,store",21,0,0
"lodging,bar,restaurant,food",3,1,10
"parking,spa,lodging",12,0,0
"hair_care,health",14,0,6
"spa,hospital,doctor,beauty_salon,health",17,0,5
"store,health,food",1,0,14
"store,supermarket,grocery_or_supermarket,food,health",4,2,0
"pet_store,cafe,store,food",7,6,0
"art_gallery,museum,store",16,0,0
"art_gallery,furniture_store,home_goods_store,store",1,8,0
"travel_agency,store",18,8,0
"atm,storage,finance",11,0,0
"car_rental,health",23,0,0
"museum,restaurant,food",13,0,0
"restaurant,meal_delivery,meal_takeaway,bar,food",15,0,0
"lodging,school",17,0,0
"health,school,store",15,0,0
